id,suite_number,suite_name,item_name,description,model_example,quantity,unit_cost,total_cost,vendor,quote_status,quote_file,dimensions,weight_kg,power_requirements,special_requirements,space_id,installation_status,justification,status,flag_reason,item_category
26,4,Data Platform Secure Environments AI/HPC,Networking & Security Core,"Zero-trust perimeter, zone isolation, NIST CSF 2.0 aligned",Cisco Secure / Palo Alto Networks,1,180000,180000,,needed,,,,,,,planning,,confirmed,,equipment
27,4,Data Platform Secure Environments AI/HPC,Clinical Trial Data Platform Licenses,,REDCap Cloud / Medidata,1,300000,300000,,needed,,,,,,,planning,,confirmed,,software
28,4,Data Platform Secure Environments AI/HPC,AWS Cloud Credits & Compute Reserve,"5-year cloud compute, storage, AI services (Calgary region, DHDP-compatible)",AWS EC2/S3/SageMaker (5 Yr),1,500000,500000,,needed,,,,,,,planning,,confirmed,,software
29,4,Data Platform Secure Environments AI/HPC,AWS Pro-Serve / Architecture Consulting,,AWS Professional Services,1,300000,300000,,needed,,,,,,,planning,,confirmed,,service
30,5,Trial Innovation Tools & Wearables,Enterprise eConsent & Recruitment Platform,,DocuSign / Castor / Custom Dev,1,300000,300000,,needed,,,,,,,planning,,confirmed,,software
31,5,Trial Innovation Tools & Wearables,Wearable Sensors (ECG/Activity),,iRhythm Zio / Fitbit / Verily,1,250,1000,,needed,,,,,,,planning,,confirmed,,equipment
32,5,Trial Innovation Tools & Wearables,Remote Monitoring / Telehealth Kits,,TytoCare / iPad Pro Cellular Kits,20,5000,100000,,needed,,,,,,,planning,,confirmed,,equipment
33,5,Trial Innovation Tools & Wearables,Mobile Data Capture Kiosks/Tablets,,iPad Pro / Surface Pro (Secure),80,1250,100000,,needed,,,,,,,planning,,confirmed,,equipment
34,5,Trial Innovation Tools & Wearables,Data Visualization & Dashboard Software,,Tableau Server / PowerBI Premium,1,380000,380000,,needed,,,,,,,planning,,confirmed,,software
35,4,Data Platform Secure Environments AI/HPC,Identity Management System (Zero-Trust),"SSO, MFA, role-based access for TRE zones",Okta / Azure AD Premium,1,100000,100000,,,,,,,,,,,,,software
36,4,Data Platform Secure Environments AI/HPC,EDC/eSource Platform (21 CFR 11 Compliant),5-year enterprise license with audit trails,Medidata Rave / Veeva Vault CDMS,1,400000,400000,,,,,,,,,,,,,software
37,4,Data Platform Secure Environments AI/HPC,OMOP ETL & OHDSI Tooling,Leverages VITAL/GEMINI foundational ETL work; OHDSI tooling deployment,ATLAS / Achilles / WhiteRabbit,1,100000,100000,,,,,,,,,,,,,service
38,1,Clinical Trials Participant & Procedure Infrastructure,Challenge Unit Renovation & Construction,"Major renovation of existing Li Ka Shing Centre lab space: structural work for 4 negative-pressure isolation rooms (-25 Pa) with airlock entries and interlocking doors; plumbing for 4 en-suite bathrooms (toilet/shower/sink); HVAC ductwork modifications; electrical for monitoring and entertainment; fire suppression; building permits and engineering. Includes extended-stay amenities: hospital beds, entertainment systems (TV/WiFi), work surfaces, in-room meal delivery capability, intercoms for 14+ day quarantine.",Custom Engineering/Construction,1,400000,400000,,needed,,,,,,,planning,Estimate based on comparable CHIM facility construction; may require detailed engineering assessment,confirmed,,renovation
39,1,Clinical Trials Participant & Procedure Infrastructure,HEPA Filtration System Upgrade,"≥12 ACH, HEPA exhaust filtration, continuous pressure monitoring",Camfil / AAF International,4,20000,80000,,needed,,,,,,,planning,,confirmed,,renovation
40,1,Clinical Trials Participant & Procedure Infrastructure,Challenge Unit Continuous Monitoring Stations,"Telemetry, SpO2, temperature, video surveillance for 24/7 participant monitoring",Philips IntelliVue / GE Carescape,4,15000,60000,,needed,,,,,,,planning,,confirmed,,equipment
41,1,Clinical Trials Participant & Procedure Infrastructure,Pathogen Preparation Area,"BSL-2+ biosafety cabinet, validated containment, pathogen handling capability",Thermo Scientific / Labconco,1,50000,50000,,needed,,,,,,,planning,,confirmed,,equipment
42,1,Clinical Trials Participant & Procedure Infrastructure,Pediatric Vital Sign Monitors,Age-specific parameters (neonate to adolescent) for rare disease trials,Philips IntelliVue / GE Carescape,4,15000,60000,,needed,,,,,,,planning,,confirmed,,equipment
43,1,Clinical Trials Participant & Procedure Infrastructure,Pediatric-Size Infusion Pumps,"Low-volume accuracy for rare disease dosing, gene therapy administration",Baxter / Alaris Systems,8,5000,40000,,needed,,,,,,,planning,,confirmed,,equipment
44,1,Clinical Trials Participant & Procedure Infrastructure,Long-Term Monitoring Stations,"Gene therapy 15-year follow-up capability, patient registry integration",Custom / Clinical Research Systems,2,20000,40000,,needed,,,,,,,planning,,confirmed,,equipment
45,1,Clinical Trials Participant & Procedure Infrastructure,Telehealth/Remote Monitoring System,"For follow-up visits, family convenience, rural patient access",Cisco / Zoom Healthcare,1,30000,30000,,needed,,,,,,,planning,,confirmed,,equipment
46,1,Clinical Trials Participant & Procedure Infrastructure,Data Integration (Connect Care),"EDC/CDASH linkage for rare disease registry, RareKids-CAN integration",Custom Integration / Epic,1,30000,30000,,needed,,,,,,,planning,,confirmed,,service
47,4,Data Platform Secure Environments AI/HPC,BioBank-TRE Integration,"OpenSpecimen API, FHIR endpoints, Zone 2/3 data flows for specimen-phenotype linkage",Custom Development / OpenSpecimen,1,75000,75000,,needed,,,,,,,,,,,service
48,2,Living Biorepository & Cell Manufacturing,OpenSpecimen Enterprise License,"5-year license, 21 CFR Part 11 compliant, multi-site federated model",Krishagni OpenSpecimen,1,200000,200000,,needed,,,,,,,,,,,software
49,2,Living Biorepository & Cell Manufacturing,OpenSpecimen Plugin Development,"Dynamic consent, FHIR integration, custom workflows",Custom Development,1,125000,125000,,needed,,,,,,,,,,,service
50,2,Living Biorepository & Cell Manufacturing,OpenSpecimen Data Migration,caTissue to OpenSpecimen migration services,Krishagni / Contractor,1,60000,60000,,needed,,,,,,,,,,,service
51,2,Living Biorepository & Cell Manufacturing,Connect Care FHIR Integration,Epic FHIR API integration for BioBank specimen-EHR linkage,Epic / Custom Development,1,90000,90000,,needed,,,,,,,,,,,service
52,2,Living Biorepository & Cell Manufacturing,Dynamic Consent Module,Renewable consent workflow implementation for research participants,OpenSpecimen Plugin / Custom,1,60000,60000,,needed,,,,,,,,,,,service
53,2,Living Biorepository & Cell Manufacturing,BioBank Staff Training,OpenSpecimen certification training for BioBank personnel,Krishagni / UBC ResTech,1,35000,35000,,needed,,,,,,,,,,,service
54,5,Trial Innovation Tools & Wearables,Device Data Integration APIs,"Custom development for ingesting data from novel UAlberta devices (glucose sensors, wound sensors, VR systems)",Custom Development / FHIR,1,75000,75000,,,,,,,,,,,,,service
55,5,Trial Innovation Tools & Wearables,Validation Protocol Library,"SOPs, templates for standardized device validation designs (iSMART/Digital Health Unit)",Custom Development,1,25000,25000,,,,,,,,,,,,,service
56,5,Trial Innovation Tools & Wearables,Sensor Development Equipment,Network analyzer testing equipment to support Gupta/Light labs device development,Keysight / Rohde & Schwarz,1,50000,50000,,,,,,,,,,,,,equipment
57,5,Trial Innovation Tools & Wearables,Reference Device Pool,"Commercial CGM, BP monitors, wearables for comparison standards in validation studies",Dexcom G7 / Abbott Libre / Omron,1,25000,25000,,,,,,,,,,,,,equipment
58,4,Data Platform Secure Environments AI/HPC,PACS/DICOM Integration Gateway,Direct connection to provincial PACS infrastructure via DICOM protocol for imaging AI,Mirth Connect / Orthanc Enterprise,1,100000,100000,,needed,,,,,,,planning,Enable radiomics AI agent access to medical imaging data,confirmed,,service
59,4,Data Platform Secure Environments AI/HPC,SDRE GPU Allocation (Radiomics),"Reserved SDRE GPU capacity for radiomics feature extraction; replaces dedicated nodes. Leverages UAlberta HPC.",SDRE Allocation,1,0,0,,needed,,,,,,,planning,Support Imaging/Radiomics Agent computational workloads,confirmed,,equipment
60,4,Data Platform Secure Environments AI/HPC,Image Harmonization Software,ComBat normalization and AI-calibration protocols for multi-site imaging standardization,ComBat / Custom Development,1,50000,50000,,needed,,,,,,,planning,Ensure imaging data comparability between rural and academic sites,confirmed,,software
61,4,Data Platform Secure Environments AI/HPC,Rawdiomics Hot Cache,"High-speed cache for active CT sinograms and MRI k-space data. Archive on SDRE.",Dell PowerScale (NVMe tier),1,50000,50000,,needed,,,,,,,planning,Enable Dr. Simpson's rawdiomics methodology on pre-reconstruction imaging data,confirmed,,equipment
62,3,Translational Science Integration,Radiomic Analysis Workstations,High-performance workstations for radiomic feature extraction and radiogenomic correlation,HP Z8 / Dell Precision,2,40000,80000,,needed,,,,,,,planning,Support imaging biomarker development and correlation with omics data,confirmed,,equipment
63,4,Data Platform Secure Environments AI/HPC,SDRE Integration & Access,"Reserved SDRE capacity allocation, access fees, integration development for CTAP workloads. Connects TRE to UAlberta HPC.",SDRE / UAlberta IST,1,100000,100000,,,,,,,,,,,,,
64,4,Data Platform Secure Environments AI/HPC,AI Scribe-EDC Integration,Voice-to-structured clinical trial data pipeline. Integrates Dr. Ross Mitchell's AI Scribe with EDC for automated data capture.,Custom Development / Azure AI,1,75000,75000,,,,,,,,,,,,,
65,4,Data Platform Secure Environments AI/HPC,CRAIDL LLM Development Environment,"SDRE GPU allocation for LLM fine-tuning, model versioning, evaluation. Operational inference on CTAP servers.",SDRE Allocation / MLflow,1,50000,50000,,,,,,,,,,,,,
66,4,Data Platform Secure Environments AI/HPC,AHS Snowflake Integration,Secure pipeline for Zone 1 bulk extracts from Connect Care via AHS Datawarehouse (Snowflake). Supports OMOP ETL.,Snowflake / Custom ETL,1,75000,75000,,,,,,,,,,,,,
67,1,Clinical Trials Participant & Procedure Infrastructure,Tilt Table (Research-Grade),"Head-up tilt testing for POTS diagnosis; 60-70° controlled positioning, rapid tilt capability for autonomic function testing. Supports NCT06721949 taurine trial.",WR Medical WR.S1,2,35000,70000,,needed,,,,,,,planning,Essential for POTS and autonomic dysfunction clinical trials,confirmed,,equipment
68,1,Clinical Trials Participant & Procedure Infrastructure,Continuous Beat-to-Beat BP Monitor,"Non-invasive finger cuff hemodynamic monitoring for adrenergic function assessment during tilt testing and Valsalva maneuver.",Finapres NOVA,2,45000,90000,,needed,,,,,,,planning,Gold standard continuous hemodynamic monitoring for autonomic trials,confirmed,,equipment
69,1,Clinical Trials Participant & Procedure Infrastructure,QSART System,"Quantitative sudomotor axon reflex testing for postganglionic sympathetic sudomotor function; critical for small fiber neuropathy assessment in diabetic and Long COVID patients.",WR Medical Q-Sweat (LAM-2220),2,40000,80000,,needed,,,,,,,planning,Only test for postganglionic sudomotor function in clinical trials,confirmed,,equipment
70,1,Clinical Trials Participant & Procedure Infrastructure,Autonomic Analysis Workstation,"Integrated software for HRV analysis, baroreflex sensitivity, CASS scoring, and composite autonomic function assessment.",WR Medical / Finapres Software,2,15000,30000,,needed,,,,,,,planning,Required for standardized autonomic function scoring in trials,confirmed,,equipment
71,1,Clinical Trials Participant & Procedure Infrastructure,Research ECG/HRV Monitor,"High-resolution ECG for cardiovagal function testing including deep breathing and Valsalva ratio assessment.",GE MAC 5500 HD / Mortara,2,25000,50000,,needed,,,,,,,planning,Research-grade ECG for cardiovagal function endpoints,confirmed,,equipment
72,1,Clinical Trials Participant & Procedure Infrastructure,Valsalva Apparatus,"40 mmHg resistance device for standardized Valsalva maneuver testing in autonomic function protocols.",WR Medical,2,3000,6000,,needed,,,,,,,planning,Standardized Valsalva testing for adrenergic function,confirmed,,equipment
73,1,Clinical Trials Participant & Procedure Infrastructure,Respiratory Monitor,"Respiratory rate control for deep breathing test component of autonomic function assessment.",Biopac / ADInstruments,2,8000,16000,,needed,,,,,,,planning,Controlled breathing protocols for cardiovagal testing,confirmed,,equipment
74,1,Clinical Trials Participant & Procedure Infrastructure,End-Tidal CO2 Monitor,"Capnography for enhanced cardiovagal assessment and hyperventilation testing protocols.",Masimo EMMA,2,12000,24000,,needed,,,,,,,planning,Enhanced cardiovagal function assessment,confirmed,,equipment
75,1,Clinical Trials Participant & Procedure Infrastructure,Transcranial Doppler (TCD),"Cerebral blood flow velocity monitoring during orthostatic stress testing; critical for cerebral autoregulation assessment.",DWL / Spencer Technologies,2,45000,90000,,needed,,,,,,,planning,Cerebral autoregulation endpoints for POTS and Long COVID trials,confirmed,,equipment
76,1,Clinical Trials Participant & Procedure Infrastructure,NIRS (Cerebral Oximetry),"Near-infrared spectroscopy for continuous cerebral oxygenation monitoring during tilt testing and orthostatic challenge.",Nonin / Masimo O3,2,25000,50000,,needed,,,,,,,planning,Cerebral oxygenation monitoring during orthostatic stress,confirmed,,equipment
77,1,Clinical Trials Participant & Procedure Infrastructure,Pediatric Tilt Table Adaptations,"Age-appropriate restraints and sizing adaptations for pediatric autonomic testing at Stollery Hospital 1D.",WR Medical Pediatric Kit,1,5000,5000,,needed,,,,,,,planning,Pediatric-specific adaptations for autonomic lab,confirmed,,equipment
78,1,Clinical Trials Participant & Procedure Infrastructure,Pediatric QSART Capsules,"Smaller sweat capsules sized for children for pediatric sudomotor function testing.",WR Medical Pediatric Size,1,3000,3000,,needed,,,,,,,planning,Pediatric-specific QSART testing capability,confirmed,,equipment
