id,category,equipment_id,suite,description,amount,funding_source,year,status,om_rate,notes,quote_reference
27,software,27,4,Clinical Trials EDC/Data Platform (3-Year Contract - 21 CFR 11),280000,CFI/institutional,0,estimated,,Capital - consolidated EDC/eSource + data platform; 21 CFR Part 11 compliant with audit trails,suite_4_data_platform/edc_esource_platform.md
28,equipment,28,4,On-Premises HPC Cluster - REMOVED (SDRE provides),0,CFI/institutional,0,removed,,Removed - SDRE provides HPC/GPU infrastructure; avoids duplication,suite_4_data_platform/aws_cloud_bedrock.md
83,service,83,4,AWS TRE Infrastructure Setup & Reserved Capacity,458000,CFI/institutional,0,quoted,,Capital - TRE environment build-out (SOC2/HIPAA/PIPEDA compliant); based on AWS quote for trial volume ($608K total compute/storage),suite_4_data_platform/aws_tre_frontier_ai.md
84,service,84,4,AWS Bedrock Reserved AI Capacity (Health Data Compliant),150000,CFI/institutional,0,estimated,,Capital - committed use agreement for PIPEDA/PHIA-compliant AI inference capacity (3-year reserved),suite_4_data_platform/aws_tre_frontier_ai.md
29,service,29,4,AWS Pro-Serve TRE Architecture (Year 1),150000,CFI/institutional,0,estimated,,Capital - phased: $150K Year 1; remainder to O&M,suite_4_data_platform/aws_cloud_bedrock.md
30,service,30,5,eConsent Platform Integration - REMOVED (consolidated into Suite 4 TRE),0,CFI/institutional,0,removed,,Removed - eConsent functionality consolidated into Suite 4 BioBank/OpenSpecimen-TRE-Connect Care Integration,
31,equipment,31,5,Wearable Sensors (ECG/Activity),1000,CFI/institutional,0,estimated,,Capital,
32,equipment,32,5,Remote Monitoring / Telehealth Kits,100000,CFI/institutional,0,estimated,,Capital,
33,equipment,33,5,Mobile Data Capture Kiosks/Tablets,100000,CFI/institutional,0,estimated,,Capital,
34,software,34,5,Data Visualization & Dashboard Software - REMOVED (use existing institutional tools),0,CFI/institutional,0,removed,,Removed - leverage existing UAlberta/AHS visualization tools (Power BI, Tableau institutional licenses),
35,software,35,4,Identity Management - DEFERRED (use AWS IAM Year 1),0,CFI/institutional,0,deferred,,Deferred to Year 2; AWS IAM provides initial capability,suite_4_data_platform/identity_management.md
36,software,36,4,EDC/eSource Platform - REMOVED (consolidated into item 27),0,CFI/institutional,0,removed,,Removed - consolidated with Clinical Trial Data Platform into single EDC/Data Platform item,suite_4_data_platform/edc_esource_platform.md
37,service,37,4,OMOP ETL & OHDSI Tooling - REMOVED (VITAL/GEMINI provides),0,CFI/institutional,0,removed,,Removed - leverages VITAL federated infrastructure and provincial Snowflake research instance; OMOP mapping already established,suite_4_data_platform/omop_ohdsi_tooling.md
38,renovation,38,1,CHIM Unit Renovation & Containment Fit-Out,800000,CFI/institutional,0,estimated,,Capital - negative pressure HVAC; 4 isolation rooms with en-suite; airlock entries; Canada's first academic CHIM,
39,renovation,39,1,HEPA Filtration System Upgrade,80000,CFI/institutional,0,estimated,,Capital,
40,equipment,40,1,Challenge Unit Continuous Monitoring Stations,60000,CFI/institutional,0,estimated,,Capital,
41,equipment,41,1,Pathogen Preparation Area,50000,CFI/institutional,0,estimated,,Capital,
42,equipment,42,1,Pediatric Vital Sign Monitors - REMOVED (Stollery CIU existing),0,CFI/institutional,0,removed,,Removed - Stollery CIU has existing pediatric equipment,
43,equipment,43,1,Pediatric-Size Infusion Pumps - REMOVED (Stollery CIU existing),0,CFI/institutional,0,removed,,Removed - Stollery CIU has existing pediatric equipment,
44,equipment,44,1,Long-Term Monitoring Stations,40000,CFI/institutional,0,estimated,,Capital,
45,equipment,45,1,Telehealth/Remote Monitoring System,30000,CFI/institutional,0,estimated,,Capital,
46,service,46,1,Data Integration (Connect Care),30000,CFI/institutional,0,estimated,,Capital - one-time,
47,service,47,4,BioBank/OpenSpecimen-TRE-Connect Care Integration,120000,CFI/institutional,0,estimated,,Capital - one-time; expanded scope includes OpenSpecimen LIMS and Connect Care FHIR,suite_4_data_platform/biobank_tre_integration.md
48,software,48,2,OpenSpecimen Basic Support License,60000,CFI/institutional,0,estimated,,Capital - reduced from Enterprise $120K; $60K savings,suite_2_biorepository/openspecimen_pricing.md
49,service,49,2,OpenSpecimen Plugin Development (Year 1),75000,CFI/institutional,0,estimated,,Capital - phased: $75K Year 1; remainder Year 2; $50K savings,suite_2_biorepository/openspecimen_pricing.md
50,service,50,2,OpenSpecimen Data Migration,60000,CFI/institutional,0,estimated,,Capital - one-time,suite_2_biorepository/openspecimen_pricing.md
51,service,51,2,Connect Care FHIR Integration (consolidated w/ Suite 4),45000,CFI/institutional,0,estimated,,Capital - consolidated with Suite 4 TRE work; $45K savings,suite_2_biorepository/epic_fhir_integration.md
52,service,52,2,Dynamic Consent Module,60000,CFI/institutional,0,estimated,,Capital - one-time,suite_2_biorepository/openspecimen_pricing.md
53,service,53,2,BioBank Staff Training,35000,CFI/institutional,0,estimated,,Capital - one-time,suite_2_biorepository/openspecimen_pricing.md
54,service,54,5,Device Data Integration APIs,75000,CFI/institutional,0,estimated,,Capital - one-time,
55,service,55,5,Validation Protocol Library,25000,CFI/institutional,0,estimated,,Capital - one-time,
56,equipment,56,5,Sensor Development Equipment,50000,CFI/institutional,0,estimated,,Capital,
57,equipment,57,5,Reference Device Pool,25000,CFI/institutional,0,estimated,,Capital,
58,om,,1,Suite 1 O&M - Year 1,114500,institutional,1,estimated,5%,Clinical Trials Infrastructure (Capital: $2290000 - Suite 1 Base $1300K + Suite 1a CHIM $990K),
59,om,,1,Suite 1 O&M - Year 2,114500,institutional,2,estimated,5%,Clinical Trials Infrastructure (Capital: $2290000 - Suite 1 Base $1300K + Suite 1a CHIM $990K),
60,om,,1,Suite 1 O&M - Year 3,114500,institutional,3,estimated,5%,Clinical Trials Infrastructure (Capital: $2290000 - Suite 1 Base $1300K + Suite 1a CHIM $990K),
61,om,,1,Suite 1 O&M - Year 4,114500,institutional,4,estimated,5%,Clinical Trials Infrastructure (Capital: $2290000 - Suite 1 Base $1300K + Suite 1a CHIM $990K),
62,om,,1,Suite 1 O&M - Year 5,114500,institutional,5,estimated,5%,Clinical Trials Infrastructure (Capital: $2290000 - Suite 1 Base $1300K + Suite 1a CHIM $990K),
63,om,,2,Suite 2 O&M - Year 1,233200,institutional,1,estimated,6%/2%,Living Biorepository (Capital: $5837911 - equipment $2510000 @ 6% + renovation $3327911 @ 2%) + OpenSpecimen maintenance $16000/yr,
64,om,,2,Suite 2 O&M - Year 2,233200,institutional,2,estimated,6%/2%,Living Biorepository (Capital: $5837911 - equipment $2510000 @ 6% + renovation $3327911 @ 2%) + OpenSpecimen maintenance $16000/yr,
65,om,,2,Suite 2 O&M - Year 3,233200,institutional,3,estimated,6%/2%,Living Biorepository (Capital: $5837911 - equipment $2510000 @ 6% + renovation $3327911 @ 2%) + OpenSpecimen maintenance $16000/yr,
66,om,,2,Suite 2 O&M - Year 4,233200,institutional,4,estimated,6%/2%,Living Biorepository (Capital: $5837911 - equipment $2510000 @ 6% + renovation $3327911 @ 2%) + OpenSpecimen maintenance $16000/yr,
67,om,,2,Suite 2 O&M - Year 5,233200,institutional,5,estimated,6%/2%,Living Biorepository (Capital: $5837911 - equipment $2510000 @ 6% + renovation $3327911 @ 2%) + OpenSpecimen maintenance $16000/yr,
68,om,,3,Suite 3 O&M - Year 1,38850,institutional,1,estimated,7%,Translational Science Integration & Imaging (Capital: $555000 - cold-chain $200K + PAMRC imaging $250K + CRAIDL AI stations $75K + video conferencing $30K),
69,om,,3,Suite 3 O&M - Year 2,38850,institutional,2,estimated,7%,Translational Science Integration & Imaging (Capital: $555000 - cold-chain $200K + PAMRC imaging $250K + CRAIDL AI stations $75K + video conferencing $30K),
70,om,,3,Suite 3 O&M - Year 3,38850,institutional,3,estimated,7%,Translational Science Integration & Imaging (Capital: $555000 - cold-chain $200K + PAMRC imaging $250K + CRAIDL AI stations $75K + video conferencing $30K),
71,om,,3,Suite 3 O&M - Year 4,38850,institutional,4,estimated,7%,Translational Science Integration & Imaging (Capital: $555000 - cold-chain $200K + PAMRC imaging $250K + CRAIDL AI stations $75K + video conferencing $30K),
72,om,,3,Suite 3 O&M - Year 5,38850,institutional,5,estimated,7%,Translational Science Integration & Imaging (Capital: $555000 - cold-chain $200K + PAMRC imaging $250K + CRAIDL AI stations $75K + video conferencing $30K),
73,om,,4,Suite 4 O&M - Year 1,175600,institutional,1,estimated,12%,Data Platform & AI/HPC (Capital: $1130000 - includes expanded BioBank/TRE/Connect Care integration) + software maintenance $40000/yr,
74,om,,4,Suite 4 O&M - Year 2,175600,institutional,2,estimated,12%,Data Platform & AI/HPC (Capital: $1130000 - includes expanded BioBank/TRE/Connect Care integration) + software maintenance $40000/yr,
75,om,,4,Suite 4 O&M - Year 3,175600,institutional,3,estimated,12%,Data Platform & AI/HPC (Capital: $1130000 - includes expanded BioBank/TRE/Connect Care integration) + software maintenance $40000/yr,
76,om,,4,Suite 4 O&M - Year 4,175600,institutional,4,estimated,12%,Data Platform & AI/HPC (Capital: $1130000 - includes expanded BioBank/TRE/Connect Care integration) + software maintenance $40000/yr,
77,om,,4,Suite 4 O&M - Year 5,175600,institutional,5,estimated,12%,Data Platform & AI/HPC (Capital: $1130000 - includes expanded BioBank/TRE/Connect Care integration) + software maintenance $40000/yr,
78,om,,5,Suite 5 O&M - Year 1,54080,institutional,1,estimated,8%,Remote and Decentralized Trials (Capital: $376000 - eConsent consolidated to Suite 4) + software maintenance $24000/yr,
79,om,,5,Suite 5 O&M - Year 2,54080,institutional,2,estimated,8%,Remote and Decentralized Trials (Capital: $376000 - eConsent consolidated to Suite 4) + software maintenance $24000/yr,
80,om,,5,Suite 5 O&M - Year 3,54080,institutional,3,estimated,8%,Remote and Decentralized Trials (Capital: $376000 - eConsent consolidated to Suite 4) + software maintenance $24000/yr,
81,om,,5,Suite 5 O&M - Year 4,54080,institutional,4,estimated,8%,Remote and Decentralized Trials (Capital: $376000 - eConsent consolidated to Suite 4) + software maintenance $24000/yr,
82,om,,5,Suite 5 O&M - Year 5,54080,institutional,5,estimated,8%,Remote and Decentralized Trials (Capital: $376000 - eConsent consolidated to Suite 4) + software maintenance $24000/yr,
85,equipment,85,3,PAMRC Network Link (10Gbps Fiber to TRE Zone 2),25000,CFI/institutional,0,estimated,,Capital - high-bandwidth imaging data transfer,suite_3_translational_science/pamrc_imaging_infrastructure.md
86,equipment,86,3,PAMRC Storage Node (NVMe Cache for DICOM/k-space + LORIS DB),75000,CFI/institutional,0,estimated,,Capital - local staging for MRI studies + LORIS database,suite_3_translational_science/pamrc_imaging_infrastructure.md
87,software,87,3,Research PACS Server (Orthanc + Hardware),50000,CFI/institutional,0,estimated,,Capital - open-source PACS with dedicated server; GPLv3,suite_3_translational_science/pamrc_imaging_infrastructure.md
88,software,88,3,LORIS Research Data Platform (Server + Deployment),60000,CFI/institutional,0,estimated,,Capital - MNI open-source imaging data management; server + implementation,suite_3_translational_science/pamrc_imaging_infrastructure.md
89,equipment,89,3,CRAIDL AI Development Stations - PAMRC (2x Dell Pro Max GB10 + Mac Studio pairs),25000,CFI/institutional,0,estimated,,Capital - 2 stations for imaging AI/radiomics development; each station: Dell Pro Max GB10 ($6K) + Mac Studio M4 Max ($5K) + 4K monitor ($1.5K),suite_3_translational_science/craidl_ai_workstations.md
92,equipment,92,3,CRAIDL AI Development Stations - Kipnes Institute (4x Dell Pro Max GB10 + Mac Studio pairs),50000,CFI/institutional,0,estimated,,Capital - 4 stations for clinical AI agent development; each station: Dell Pro Max GB10 ($6K) + Mac Studio M4 Max ($5K) + 4K monitor ($1.5K),suite_3_translational_science/craidl_ai_workstations.md
93,equipment,93,3,Video Conferencing System (CRAIDL Conference Room),30000,CFI/institutional,0,estimated,,Capital - mid-range system for patient participation and real-time translation; includes display PTZ camera microphone array and room controller,suite_3_translational_science/craidl_conference_room.md
90,service,90,3,PACS/LORIS-TRE Integration & DICOM-OMOP Mapping,40000,CFI/institutional,0,estimated,,Capital - one-time integration with Suite 4 data platform,suite_3_translational_science/pamrc_imaging_infrastructure.md
91,equipment,91,2,Biorepository Capacity Expansion (Reallocated from Suite 4 SDRE overlap),725000,CFI/institutional,0,estimated,,Capital - additional freezers/storage/automation from SDRE reallocation ($1.45M removed from Suite 4; 50% to Suite 2),
